label,f1,f2,f3,resin,resin_type,layup,mm,nft,nftm,impact_test,standard,vf1,vf2,vf3,vm,mass,v,e,ts,tm,fs,fm,it
S,Glass,,,Unsaturated polyester,TS,,HL+CM,No,,Charpy,NA,9.2,0.0,0.0,90.9,,,,157.71,5.51,251.20,6.39,2.70
SN,Glass,Jute,,Unsaturated polyester,TS,S,HL+CM,Yes,Alkali,Charpy,NA,5.9,5.0,0.0,89.2,,,,78.61,4.26,146.33,5.85,1.44
SN,Glass,Jute,,Unsaturated polyester,TS,S,HL+CM,Yes,Alkali,Charpy,NA,4.3,7.3,0.0,88.3,,,,48.72,3.82,94.03,5.16,1.66
N,Basalt,,,Epoxy,TS,,RTM,No,,NA,NA,33.0,0.0,0.0,67.0,6.93,1.2,5,,,229.34,14.35,1.84
S,Aramid,,,Epoxy,TS,,RTM,,,NA,NA,33.0,0.0,0.0,67.0,6.93,1.2,5,,,219.37,17.57,2.17
SN,Aramid,Basalt,,Epoxy,TS,S,RTM,,,NA,NA,15.2,17.8,0.0,67.0,6.93,1.2,5,,,219.59,16.97,2.22
SN,Aramid,Basalt,,Epoxy,TS,I,RTM,,,NA,NA,10.2,15.2,0.0,74.6,6.93,1.2,5,,,274.17,17.43,2.22
N,Jute,,,Polyester,TS,,VI,No,,Charpy,BS EN ISO 179,16.0,0.0,0.0,84.0,,,12,37.84,,,,0.64
S,Glass,,,Polyester,TS,,VI,No,,Charpy,BS EN ISO 179,44.0,0.0,0.0,56.0,,,12,262.46,,,,1.83
S,Carbon,,,Polyester,TS,,VI,No,,Charpy,BS EN ISO 179,52.0,0.0,0.0,48.0,,,12,400.06,,,,1.89
SN,Glass,Jute,,Polyester,TS,I,VI,No,,Charpy,BS EN ISO 179,12.0,21.0,0.0,67.0,,,12,117.96,,,,1.95
SN,Glass,Jute,,Polyester,TS,S,VI,No,,Charpy,BS EN ISO 179,12.5,22.5,0.0,65.0,,,12,108.06,,,,1.48
